Using device: cuda
Dimension: 2
Wells at: ±[0.70710678 0.70710678]
Initial center: [-0.70710678 -0.70710678]

Starting training...
Epoch 500/150000, Loss: 65.670792
Epoch 72000/150000, Loss: nan
Epoch 72500/150000, Loss: nan
Epoch 73000/150000, Loss: nan
Epoch 73500/150000, Loss: nan
Epoch 74000/150000, Loss: nan
Epoch 74500/150000, Loss: nan
Epoch 75000/150000, Loss: nan
Epoch 75500/150000, Loss: nan
Epoch 76000/150000, Loss: nan
Epoch 76500/150000, Loss: nan
Epoch 77000/150000, Loss: nan
Epoch 77500/150000, Loss: nan
Epoch 78000/150000, Loss: nan
Epoch 78500/150000, Loss: nan
Epoch 79000/150000, Loss: nan
Epoch 79500/150000, Loss: nan
Epoch 80000/150000, Loss: nan
Epoch 80500/150000, Loss: nan
Epoch 81000/150000, Loss: nan
Epoch 81500/150000, Loss: nan
Epoch 82000/150000, Loss: nan
Epoch 82500/150000, Loss: nan
Epoch 83000/150000, Loss: nan
Epoch 83500/150000, Loss: nan
Epoch 84000/150000, Loss: nan
Epoch 84500/150000, Loss: nan
Epoch 85000/150000, Loss: nan
Epoch 85500/150000, Loss: nan
Epoch 86000/150000, Loss: nan
Epoch 86500/150000, Loss: nan
Epoch 87000/150000, Loss: nan
Epoch 87500/150000, Loss: nan
Epoch 88000/150000, Loss: nan
Epoch 88500/150000, Loss: nan
Epoch 89000/150000, Loss: nan
Epoch 89500/150000, Loss: nan
Epoch 90000/150000, Loss: nan
Epoch 90500/150000, Loss: nan
Epoch 91000/150000, Loss: nan
Epoch 91500/150000, Loss: nan
Epoch 92000/150000, Loss: nan
Epoch 92500/150000, Loss: nan
Epoch 93000/150000, Loss: nan
Epoch 93500/150000, Loss: nan
Epoch 94000/150000, Loss: nan
Epoch 94500/150000, Loss: nan
Epoch 95000/150000, Loss: nan
Epoch 95500/150000, Loss: nan
Epoch 96000/150000, Loss: nan
Epoch 96500/150000, Loss: nan
Epoch 97000/150000, Loss: nan
Epoch 97500/150000, Loss: nan
Epoch 98000/150000, Loss: nan
Epoch 98500/150000, Loss: nan
Epoch 99000/150000, Loss: nan
Epoch 99500/150000, Loss: nan
Epoch 100000/150000, Loss: nan
Epoch 100500/150000, Loss: nan
Epoch 101000/150000, Loss: nan
Epoch 101500/150000, Loss: nan
Epoch 102000/150000, Loss: nan
Epoch 102500/150000, Loss: nan
Epoch 103000/150000, Loss: nan
Epoch 103500/150000, Loss: nan
Epoch 104000/150000, Loss: nan
Epoch 104500/150000, Loss: nan
Epoch 105000/150000, Loss: nan
Epoch 105500/150000, Loss: nan
Epoch 106000/150000, Loss: nan
Epoch 106500/150000, Loss: nan
Epoch 107000/150000, Loss: nan
Epoch 107500/150000, Loss: nan
Epoch 108000/150000, Loss: nan
Epoch 108500/150000, Loss: nan
Epoch 109000/150000, Loss: nan
Epoch 109500/150000, Loss: nan
Epoch 110000/150000, Loss: nan
Epoch 110500/150000, Loss: nan
Epoch 111000/150000, Loss: nan
Epoch 111500/150000, Loss: nan
Epoch 112000/150000, Loss: nan
Epoch 112500/150000, Loss: nan
Epoch 113000/150000, Loss: nan
Epoch 113500/150000, Loss: nan
Epoch 114000/150000, Loss: nan
Epoch 114500/150000, Loss: nan
Epoch 115000/150000, Loss: nan
Epoch 115500/150000, Loss: nan
Epoch 116000/150000, Loss: nan
Epoch 116500/150000, Loss: nan
Epoch 117000/150000, Loss: nan
Epoch 117500/150000, Loss: nan
Epoch 118000/150000, Loss: nan
Epoch 118500/150000, Loss: nan
Epoch 119000/150000, Loss: nan
Epoch 119500/150000, Loss: nan
Epoch 120000/150000, Loss: nan
Epoch 120500/150000, Loss: nan
Epoch 121000/150000, Loss: nan
Epoch 121500/150000, Loss: nan
Epoch 122000/150000, Loss: nan
Epoch 122500/150000, Loss: nan
Epoch 123000/150000, Loss: nan
Epoch 123500/150000, Loss: nan
Epoch 124000/150000, Loss: nan
Epoch 124500/150000, Loss: nan
Epoch 125000/150000, Loss: nan
Epoch 125500/150000, Loss: nan
Epoch 126000/150000, Loss: nan
Epoch 126500/150000, Loss: nan
Epoch 127000/150000, Loss: nan
Epoch 127500/150000, Loss: nan
Epoch 128000/150000, Loss: nan
Epoch 128500/150000, Loss: nan
Epoch 129000/150000, Loss: nan
Epoch 129500/150000, Loss: nan
Epoch 130000/150000, Loss: nan
Epoch 130500/150000, Loss: nan
Epoch 131000/150000, Loss: nan
Epoch 131500/150000, Loss: nan
Epoch 132000/150000, Loss: nan
Epoch 132500/150000, Loss: nan
Epoch 133000/150000, Loss: nan
Epoch 133500/150000, Loss: nan
Epoch 134000/150000, Loss: nan
Epoch 134500/150000, Loss: nan
Epoch 135000/150000, Loss: nan
Epoch 135500/150000, Loss: nan
Epoch 136000/150000, Loss: nan
Epoch 136500/150000, Loss: nan
Epoch 137000/150000, Loss: nan
Epoch 137500/150000, Loss: nan
Epoch 138000/150000, Loss: nan
Epoch 138500/150000, Loss: nan
Epoch 139000/150000, Loss: nan
Epoch 139500/150000, Loss: nan
Epoch 140000/150000, Loss: nan
Epoch 140500/150000, Loss: nan
Epoch 141000/150000, Loss: nan
Epoch 141500/150000, Loss: nan
Epoch 142000/150000, Loss: nan
Epoch 142500/150000, Loss: nan
Epoch 143000/150000, Loss: nan
Epoch 143500/150000, Loss: nan
Epoch 144000/150000, Loss: nan
Epoch 144500/150000, Loss: nan
Epoch 145000/150000, Loss: nan
Epoch 145500/150000, Loss: nan
Epoch 146000/150000, Loss: nan
Epoch 146500/150000, Loss: nan
Epoch 147000/150000, Loss: nan
Epoch 147500/150000, Loss: nan
Epoch 148000/150000, Loss: nan
Epoch 148500/150000, Loss: nan
Epoch 149000/150000, Loss: nan
Epoch 149500/150000, Loss: nan
Epoch 150000/150000, Loss: nan
Training complete!
Traceback (most recent call last):
  File "/users/andrewho/WANPM_FP/Time_Dependent/double_well.py", line 372, in <module>
    ax.hist2d(samples[:, 0], samples[:, 1], bins=50, cmap='Blues', density=True)
  File "/users/andrewho/.conda/envs/torch_gpu/lib/python3.10/site-packages/matplotlib/_api/deprecation.py", line 453, in wrapper
    return func(*args, **kwargs)
  File "/users/andrewho/.conda/envs/torch_gpu/lib/python3.10/site-packages/matplotlib/__init__.py", line 1524, in inner
    return func(
  File "/users/andrewho/.conda/envs/torch_gpu/lib/python3.10/site-packages/matplotlib/axes/_axes.py", line 7523, in hist2d
    h, xedges, yedges = np.histogram2d(x, y, bins=bins, range=range,
  File "/users/andrewho/.conda/envs/torch_gpu/lib/python3.10/site-packages/numpy/lib/twodim_base.py", line 808, in histogram2d
    hist, edges = histogramdd([x, y], bins, range, density, weights)
  File "/users/andrewho/.conda/envs/torch_gpu/lib/python3.10/site-packages/numpy/lib/histograms.py", line 1003, in histogramdd
    smin, smax = _get_outer_edges(sample[:,i], range[i])
  File "/users/andrewho/.conda/envs/torch_gpu/lib/python3.10/site-packages/numpy/lib/histograms.py", line 323, in _get_outer_edges
    raise ValueError(
ValueError: autodetected range of [nan, nan] is not finite
